Designator,Mid X,Mid Y,Rotation,Layer
C1,159.5,-82.9,180.0,bottom
C10,159.099999,-81.599999,180.0,bottom
C11,144.25,-76.45,0.0,bottom
C12,136.4,-75.85,180.0,bottom
C13,159.5,-80.5,180.0,bottom
C14,160.7,-78.4,0.0,bottom
C15,147.5,-83.4,270.0,top
C16,155.0,-80.4,270.0,bottom
C17,154.0,-80.4,270.0,bottom
C18,132.5,-81.0,270.0,top
C19,137.9,-86.3,180.0,top
C2,157.6,-80.9,315.0,bottom
C20,139.8,-84.5,90.0,top
C21,135.75,-80.9,0.0,bottom
C22,141.55,-76.35,270.0,bottom
C23,123.6375,-71.85,270.0,top
C24,125.37,-86.745,180.0,top
C25,135.799999,-73.2,0.0,bottom
C26,143.2,-81.85,270.0,bottom
C27,141.05,-82.8,90.0,bottom
C28,129.0375,-72.3,270.0,top
C29,139.749999,-82.2,90.0,bottom
C3,130.5,-85.5,270.0,top
C30,138.35,-82.400001,180.0,bottom
C31,132.2,-87.6,0.0,top
C32,122.97,-88.045,180.0,top
C33,125.27,-91.745,180.0,top
C34,125.27,-90.245,180.0,top
C35,154.869999,-82.8,90.0,bottom
C36,167.15,-82.625,90.0,bottom
C37,153.95,-82.8,90.0,bottom
C38,159.5,-83.9,180.0,bottom
C39,154.5,-78.55,90.0,bottom
C4,157.7,-82.8,90.0,bottom
C40,153.5,-78.55,90.0,bottom
C41,155.8,-82.8,90.0,bottom
C42,157.5,-78.5,90.0,bottom
C43,157.7,-76.9,180.0,bottom
C44,159.1,-77.35,90.0,bottom
C45,160.85,-77.45,0.0,bottom
C46,159.5,-84.9,0.0,bottom
C47,160.85,-76.5,180.0,bottom
C48,153.0,-80.4,90.0,bottom
C49,156.2,-76.4,90.0,bottom
C5,156.75,-82.8,90.0,bottom
C6,159.5,-79.5,180.0,bottom
C7,156.0,-78.25,45.0,bottom
C8,144.149999,-81.85,270.0,bottom
C9,156.4,-79.9,0.0,bottom
D1,190.88,-90.28,0.0,bottom
